SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 3 Fordham Hill Oval,Bronx,NY,10468,171000,1,1,University Heights,,,,48,,,Active,,,http://www.redfin.com/NY/The-Bronx/3-Fordham-Hill-Oval-10468/home/52750561,REBNY,LLGI2809654,N,Y,40.8646489,-73.9082109
MLS Listing,,Condo/Co-op,Unit at 7 Fordham Hill Oval,Bronx,NY,10468,157000,1,1,University Heights,,,,48,,,Active,,,http://www.redfin.com/NY/The-Bronx/7-Fordham-Hill-Oval-10468/home/44801721,REBNY,LLGI1414555,N,Y,40.8647901,-73.9071597
MLS Listing,,Condo/Co-op,1480 Thieriot Ave Unit 6c,Bronx,NY,10460,165000,2,1,Bronx,900,,1960,48,183,,Active,,,http://www.redfin.com/NY/The-Bronx/1480-Thieriot-Ave-10460/unit-6c/home/160765918,HGMLS,5121136,N,Y,40.8373634,-73.8651998
MLS Listing,,Condo/Co-op,5800 Arlington Ave Unit 16N,Bronx,NY,10471,175000,0,1,Riverdale,500,,1960,49,350,,Active,January-12-2020 01:00 PM,January-12-2020 02:00 PM,http://www.redfin.com/NY/The-Bronx/5800-Arlington-Ave-10471/unit-16N/home/44763495,HGMLS,5121011,N,Y,40.9080135,-73.9055787
MLS Listing,,Condo/Co-op,118-18 Union Tpke Unit 2J,Kew Gardens,NY,11415,165000,0,1,Park Lane South,500,,1974,49,330,,Active,,,http://www.redfin.com/NY/Kew-Gardens/118-18-Union-Tpke-11415/unit-2J/home/169899548,MLSLI,3181645,N,Y,40.7124154,-73.8339574
MLS Listing,,Condo/Co-op,1040 Neilson St Unit 1B,Far Rockaway,NY,11691,129000,1,1,-,870,,1960,51,148,,Active,,,http://www.redfin.com/NY/Far-Rockaway/1040-Neilson-St-11691/unit-1B/home/169883807,MLSLI,3181382,N,Y,40.6043757,-73.7475099
MLS Listing,,Condo/Co-op,29 Abeel St Unit 1G,Yonkers,NY,10705,139000,1,1,Yonkers,700,,1956,54,199,,Active,,,http://www.redfin.com/NY/Yonkers/29-Abeel-St-10705/unit-1G/home/55513423,HGMLS,5120270,N,Y,40.9152575,-73.9033523
MLS Listing,,Condo/Co-op,7445 Yellowstone Blvd Unit 3J,Rego Park,NY,11374,169000,0,1,Alderton,,,1950,55,,,Active,,,http://www.redfin.com/NY/Rego-Park/7445-Yellowstone-Blvd-11374/unit-3J/home/20627079,MLSLI,3180346,N,Y,40.7152904,-73.8585123
MLS Listing,,Single Family Residential,148 Fox Beach Ave,Staten Island,NY,10306,139900,2,1,Oakwood,702,1550,1930,56,199,,Active,,,http://www.redfin.com/NY/Staten-Island/148-Fox-Beach-Ave-10306/home/56081911,SIBORMLS,1133784,N,Y,40.5534144,-74.115772
MLS Listing,,Condo/Co-op,2962 Decatur Ave Unit 3-H,Bronx,NY,10458,139000,1,1,Bronx,602,,1939,58,231,,Active,,,http://www.redfin.com/NY/Bronx/2962-Decatur-Ave-10458/unit-3H/home/59854453,HGMLS,5118504,N,Y,40.8683635,-73.8832079
