PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric,Total_Num_ofComplaints,PCT,Total_crimes,Level_A_SchoolCount,Level_B_SchoolCount,Level_C_SchoolCount,Level_D_SchoolCount,Level_F_SchoolCount,Total_Number_of_Schools,Num_Complaints_schools,Population,People/Sq_Mile,Total_Num_ofHospitals,Total_Num_of_Subways,min_dist_station,Num_of_Retail_stores,min_dist_retail_store,Num_of_Retail_stores_Zipcode
Condo/Co-op,REGO PARK,NY,11374,340000.0,2.0,1.0,Anita Terrace Apartments,1000.0,1960.0,http://www.redfin.com/NY/Rego-Park/99-60-63rd-Rd-11374/unit-14L/home/20638418,40.7325144,-73.85463309999999,61.0,635,16407,112,768,45,32,14,1,1,93,404.0,44189.0,48499.11,17,14,0.40903086294026214,16,0.16758282837952013,3.0
Condo/Co-op,REGO PARK,NY,11374,349000.0,2.0,1.0,Wetherole Tenants,1002.4694280078895,1950.0,http://www.redfin.com/NY/Flushing/66-15-Wetherole-St-11374/unit-E19/home/148568538,40.725682,-73.85664190000001,71.0,635,13466,112,768,45,35,17,1,1,99,404.0,44189.0,48499.11,20,13,0.21353659637522482,19,0.34920484565337023,3.0
Condo/Co-op,REGO PARK,NY,11374,328000.0,0.0,1.0,Austin Towers,381.0,1989.0,http://www.redfin.com/NY/Rego-Park/87-30-62nd-Ave-11374/unit-8G/home/20895840,40.728452399999995,-73.8683238,32.0,635,17202,112,768,43,31,15,1,1,91,368.0,44189.0,48499.11,24,16,0.3251088363092659,18,0.24926778760000978,3.0
Condo/Co-op,REGO PARK,NY,11374,329999.0,1.0,1.0,Park City 3&4,943.4822134387352,1960.0,http://www.redfin.com/NY/Flushing/9740-62nd-Dr-11374/unit-3L/home/169208810,40.732268499999996,-73.859883,61.0,635,17389,112,768,44,35,15,1,1,96,415.0,44189.0,48499.11,22,16,0.1901515257967254,16,0.10764393026131228,3.0
Condo/Co-op,REGO PARK,NY,11374,329000.0,1.0,1.0,Rhode Island,943.4822134387352,1940.0,http://www.redfin.com/NY/Rego-Park/6361-99th-St-11374/unit-F5/home/20655844,40.7316199,-73.85659,81.0,635,16312,112,768,44,32,15,1,1,93,404.0,44189.0,48499.11,20,14,0.2898149030585592,18,0.08349304240340089,3.0
Condo/Co-op,REGO PARK,NY,11374,375000.0,2.0,1.0,Delta Management,900.0,1955.0,http://www.redfin.com/NY/Flushing/63-45-Saunders-St-11374/unit-3G/home/20645607,40.7297629,-73.863454,66.0,635,16856,112,768,43,34,13,1,1,92,385.0,44189.0,48499.11,23,16,0.09706381988796899,14,0.11100194255360281,3.0
Condo/Co-op,REGO PARK,NY,11374,358000.0,1.0,1.0,Marion Court,900.0,1930.0,http://www.redfin.com/NY/Flushing/62-98-Saunders-St-11374/unit-2H/home/169911565,40.7300619,-73.865661,91.0,635,17286,112,768,43,32,14,1,1,91,382.0,44189.0,48499.11,22,17,0.21300819484819444,21,0.17083815553801768,3.0
Condo/Co-op,REGO PARK,NY,11374,368000.0,1.0,1.0,Parker House,860.0,1952.0,http://www.redfin.com/NY/Flushing/63-84-Saunders-St-11374/unit-1K/home/108663382,40.728511299999994,-73.86225959999999,69.0,635,15375,112,768,44,35,14,1,1,95,398.0,44189.0,48499.11,22,16,0.09843123546918786,13,0.07307535852901659,3.0
Condo/Co-op,REGO PARK,NY,11374,378000.0,2.0,1.0,Howard Owners,1002.4694280078895,1955.0,http://www.redfin.com/NY/Rego-Park/9952-66th-Rd-11374/unit-9Q/home/170239759,40.727641299999995,-73.85456140000002,66.0,635,14143,112,768,45,35,20,1,1,102,444.0,44189.0,48499.11,20,13,0.12363707186980481,19,0.3692342246174817,3.0
Condo/Co-op,REGO PARK,NY,11374,395000.0,0.0,1.0,Queens Tower,1352.9759036144576,1970.0,http://www.redfin.com/NY/Rego-Park/9229-Queens-Blvd-11374/unit-1G/home/168732499,40.7324055,-73.8672536,51.0,635,18088,112,768,43,31,11,1,1,87,345.0,44189.0,48499.11,23,17,0.11422505941719474,25,0.3507829348321188,3.0
Condo/Co-op,REGO PARK,NY,11374,388000.0,1.0,1.0,Saunders Associates,943.4822134387352,1955.0,http://www.redfin.com/NY/Flushing/63-45-Saunders-St-11374/unit-2G/home/20645299,40.7297629,-73.863454,66.0,635,16856,112,768,43,34,13,1,1,92,385.0,44189.0,48499.11,23,16,0.09706381988796899,14,0.11100194255360281,3.0
Condo/Co-op,REGO PARK,NY,11374,395000.0,2.0,1.0,Harvey Gardens,1002.4694280078895,1951.0,http://www.redfin.com/NY/Flushing/96-09-67th-Ave-11374/unit-1D/home/20640075,40.722809999999996,-73.856756,70.0,635,12186,112,768,45,37,21,1,1,105,434.0,44189.0,48499.11,21,12,0.332518773941776,17,0.16202281269510158,3.0
Condo/Co-op,REGO PARK,NY,11374,390000.0,0.0,1.0,New Hampshire House,1352.9759036144576,1949.0,http://www.redfin.com/NY/Flushing/6360-102nd-St-11374/unit-A20/home/20911570,40.7319691,-73.8541569,72.0,635,15805,112,768,45,32,14,1,1,93,404.0,44189.0,48499.11,17,14,0.3838672218541365,16,0.19432540117153096,3.0
